Geographic Area Name,FIPS,bwrato_homeownership,CensusYear,BW_poverty,WB_poverty,bwedu,wbedu,BW_unemployment,WB_unemployment,Dissimilarity,isolation,Interaction
California,6,0.64685,2000,2.14222,0.46681,0.57074,1.7521,2.12976,0.46954,0.54342,0.36325,0.63675
Colorado,8,0.6566,2000,2.14478,0.46625,0.5717,1.74917,2.10273,0.47557,0.5805,0.22542,0.77458
Connecticut,9,0.53085,2000,3.60478,0.27741,0.40698,2.45711,2.6147,0.38245,0.61675,0.44664,0.55336
Delaware,10,0.65342,2000,2.96317,0.33748,0.53995,1.85201,2.47523,0.404,0.44455,0.472,0.528
Florida,12,0.70363,2000,2.7293,0.36639,0.51735,1.93291,2.22918,0.4486,0.55723,0.50418,0.49582
Georgia,13,0.68929,2000,2.80144,0.35696,0.56457,1.77127,2.69197,0.37148,0.56057,0.6187,0.3813
Hawaii,15,0.32015,2000,0.93129,1.07378,0.56369,1.77402,1.69855,0.58874,0.45636,0.12645,0.87355
Idaho,16,0.6257,2000,1.66553,0.60041,1.02797,0.97279,1.11771,0.89469,0.54486,0.17498,0.82502
Illinois,17,0.59625,2000,3.74545,0.26699,0.52615,1.90061,3.47468,0.2878,0.44699,0.02998,0.97002
Indiana,18,0.61155,2000,2.96427,0.33735,0.60693,1.64763,2.86581,0.34894,0.69977,0.64735,0.35265
Iowa,19,0.51585,2000,3.84938,0.25978,0.68717,1.45524,3.70224,0.27011,0.66359,0.47917,0.52083
Kansas,20,0.60901,2000,2.79692,0.35754,0.54253,1.84323,3.06627,0.32613,0.52401,0.25754,0.74246
Kentucky,21,0.5726,2000,1.92265,0.52012,0.61279,1.63189,2.27118,0.4403,0.57545,0.3527,0.6473
Louisiana,22,0.67792,2000,3.29633,0.30337,0.4976,2.00964,2.91409,0.34316,0.54207,0.64358,0.35642
Maine,23,0.45182,2000,2.63656,0.37928,0.90207,1.10856,2.95958,0.33789,0.56779,0.37052,0.62948
Maryland,24,0.69762,2000,2.70604,0.36954,0.58193,1.71843,2.60482,0.3839,0.63849,0.68766,0.31234
Massachusetts,25,0.5061,2000,3.01145,0.33207,0.56733,1.76264,2.45426,0.40746,0.54563,0.09983,0.90017
Michigan,26,0.65221,2000,3.34665,0.29881,0.56056,1.78394,2.75536,0.36293,0.69962,0.60673,0.39327
Minnesota,27,0.45109,2000,4.37648,0.22849,0.656,1.52439,3.29761,0.30325,0.55509,0.28927,0.71073
Mississippi,28,0.77353,2000,3.15621,0.31684,0.50372,1.98524,2.91877,0.34261,0.67823,0.55895,0.44105
Missouri,29,0.65531,2000,2.65357,0.37685,0.58542,1.70816,2.77384,0.36051,0.49416,0.65294,0.34706
Montana,30,0.49698,2000,2.12238,0.47117,1.18146,0.84641,2.44929,0.40828,0.37003,0.01217,0.98783
Nebraska,31,0.56486,2000,3.35695,0.29789,0.57548,1.73767,3.38149,0.29573,0.51638,0.48286,0.51714
Nevada,32,0.63952,2000,2.36585,0.42268,0.61518,1.62554,2.02919,0.49281,0.45988,0.08446,0.91554
New Hampshire,33,0.54045,2000,3.17846,0.31462,0.9894,1.01071,2.12435,0.47073,0.58244,0.29897,0.70103
New Jersey,34,0.58516,2000,3.27911,0.30496,0.51542,1.94016,2.52055,0.39674,0.46096,0.05947,0.94053
New Mexico,35,0.65824,2000,1.63899,0.61013,0.66385,1.50635,1.90177,0.52583,0.63767,0.57035,0.42965
New York,36,0.50244,2000,2.54857,0.39238,0.51602,1.93792,2.52332,0.3963,0.33459,0.07137,0.92863
North Carolina,37,0.71136,2000,2.70913,0.36912,0.52457,1.90634,2.64798,0.37765,0.45672,0.32947,0.67053
North Dakota,38,0.27534,2000,2.02708,0.49332,0.81492,1.22712,1.35999,0.7353,0.72102,0.65208,0.34792
Ohio,39,0.59428,2000,3.25716,0.30702,0.54308,1.84136,2.66765,0.37486,0.66921,0.51931,0.48069
Oklahoma,40,0.60913,2000,2.48794,0.40194,0.63136,1.58389,2.55846,0.39086,0.52488,0.33302,0.66698
Oregon,41,0.59967,2000,2.36823,0.42226,0.66314,1.50799,2.1131,0.47324,0.47206,0.0887,0.9113
Pennsylvania,42,0.66864,2000,3.17281,0.31518,0.51384,1.94613,2.82336,0.35419,0.68015,0.55621,0.44379
Rhode Island,44,0.47041,2000,3.32751,0.30053,0.61361,1.62971,2.54682,0.39265,0.5345,0.22661,0.77339
South Carolina,45,0.80069,2000,3.08064,0.32461,0.40684,2.45798,2.7371,0.36535,0.45129,0.47559,0.52441
South Dakota,46,0.45695,2000,2.34442,0.42654,0.85011,1.17632,2.02726,0.49328,0.54297,0.10212,0.89788
Tennessee,47,0.69741,2000,2.33704,0.42789,0.62948,1.5886,2.37549,0.42097,0.65479,0.57396,0.42604
Texas,48,0.68632,2000,1.87713,0.53273,0.59383,1.68399,2.09011,0.47844,0.52489,0.436,0.564
Utah,49,0.55461,2000,2.64186,0.37852,0.66658,1.5002,2.41236,0.41453,0.40713,0.04375,0.95625
Vermont,50,0.5055,2000,2.24073,0.44628,1.04559,0.9564,2.18772,0.4571,0.49234,0.45846,0.54154
Virginia,51,0.69526,2000,2.7982,0.35737,0.46818,2.13591,2.5897,0.38614,0.38519,0.03729,0.96271
Washington,53,0.57871,2000,2.18121,0.45846,0.66622,1.501,1.81044,0.55235,0.51243,0.18115,0.81885
West Virginia,54,0.65931,2000,1.87362,0.53373,0.78213,1.27856,1.96735,0.5083,0.71014,0.55263,0.44737
Wisconsin,55,0.44317,2000,4.87107,0.20529,0.45097,2.21745,3.94733,0.25334,0.53516,0.14514,0.85486
Wyoming,56,0.60286,2000,1.65855,0.60294,0.74613,1.34025,2.94152,0.33996,0.36605,0.03069,0.96931
Alabama,1,0.71074,2010,2.49909,0.40015,0.60273,1.65913,2.19855,0.45485,0.47937,0.13568,0.86432
Alaska,2,0.56436,2010,1.65816,0.60308,0.59687,1.67541,1.41142,0.70851,0.56753,0.56665,0.43335
Arizona,4,0.56609,2010,1.6657,0.60035,0.81854,1.22169,1.70158,0.58769,0.58995,0.48675,0.51325
Arkansas,5,0.65029,2010,2.36943,0.42204,0.60649,1.64882,2.35163,0.42524,0.39985,0.11355,0.88645
California,6,0.6248,2010,1.71041,0.58466,0.68094,1.46855,1.69076,0.59145,0.52899,0.31465,0.68535
Colorado,8,0.61984,2010,2.17579,0.4596,0.56411,1.7727,1.98773,0.50309,0.5566,0.21199,0.78801
Connecticut,9,0.54209,2010,2.931,0.34118,0.46563,2.14762,2.10619,0.47479,0.60438,0.40009,0.59991
Delaware,10,0.65894,2010,2.30296,0.43422,0.6367,1.57061,1.84305,0.54258,0.43153,0.41182,0.58818
Florida,12,0.6804,2010,2.14867,0.4654,0.59239,1.68808,1.71992,0.58142,0.54117,0.46124,0.53876
Georgia,13,0.68153,2010,2.19159,0.45629,0.64448,1.55164,2.05494,0.48663,0.53224,0.58332,0.41668
Hawaii,15,0.55169,2010,0.94882,1.05394,0.63949,1.56376,1.36958,0.73015,0.46178,0.16884,0.83116
Idaho,16,0.46558,2010,2.05961,0.48553,0.95579,1.04626,2.51075,0.39829,0.5113,0.16794,0.83206
Illinois,17,0.55834,2010,3.14047,0.31842,0.57652,1.73454,2.507,0.39888,0.38544,0.02239,0.97761
Indiana,18,0.56646,2010,2.49739,0.40042,0.63844,1.56631,2.22003,0.45044,0.68621,0.62574,0.37426
Iowa,19,0.42561,2010,3.44753,0.29006,0.68736,1.45485,2.97389,0.33626,0.64519,0.46734,0.53266
Kansas,20,0.57156,2010,2.43981,0.40987,0.59741,1.67388,3.00991,0.33224,0.54646,0.30006,0.69994
Kentucky,21,0.57494,2010,1.91853,0.52123,0.67936,1.47197,1.88447,0.53065,0.53642,0.35174,0.64826
Louisiana,22,0.67191,2010,2.90399,0.34435,0.51948,1.92501,2.52648,0.39581,0.54157,0.58635,0.41365
Maine,23,0.38129,2010,3.60329,0.27752,0.79968,1.25049,2.48482,0.40244,0.58567,0.3815,0.6185
Maryland,24,0.6939,2010,2.15621,0.46378,0.63281,1.58026,2.08353,0.47995,0.62266,0.64656,0.35344
Massachusetts,25,0.51125,2010,2.59764,0.38497,0.56503,1.76981,2.0811,0.48052,0.48785,0.06486,0.93514
Michigan,26,0.61196,2010,2.76998,0.36101,0.58517,1.70889,2.18207,0.45828,0.70532,0.63741,0.36259
Minnesota,27,0.34416,2010,4.21469,0.23727,0.60618,1.64967,2.98482,0.33503,0.54366,0.25908,0.74092
Mississippi,28,0.73885,2010,2.83258,0.35303,0.53881,1.85593,2.50081,0.39987,0.67736,0.56141,0.43859
Missouri,29,0.59517,2010,2.40697,0.41546,0.59324,1.68565,2.56872,0.3893,0.4806,0.57511,0.42489
Montana,30,0.32113,2010,2.31661,0.43167,0.7818,1.2791,2.09701,0.47687,0.42767,0.03429,0.96571
Nebraska,31,0.52404,2010,3.25547,0.30718,0.57163,1.74939,3.41343,0.29296,0.49143,0.45609,0.54391
Nevada,32,0.57354,2010,1.7888,0.55903,0.72381,1.38158,1.60584,0.62273,0.4449,0.04543,0.95457
New Hampshire,33,0.55287,2010,3.25534,0.30719,0.88251,1.13313,1.608,0.62189,0.59349,0.34775,0.65225
New Jersey,34,0.5656,2010,2.72072,0.36755,0.57975,1.72489,1.89441,0.52787,0.45065,0.04438,0.95562
New Mexico,35,0.63817,2010,1.47497,0.67798,0.8639,1.15754,1.38492,0.72206,0.61646,0.52675,0.47325
New York,36,0.49791,2010,2.13247,0.46894,0.57466,1.74017,1.91838,0.52127,0.39351,0.07705,0.92295
North Carolina,37,0.66759,2010,2.28268,0.43808,0.57759,1.73134,1.95903,0.51046,0.3919,0.21378,0.78622
North Dakota,38,0.20763,2010,2.87365,0.34799,0.89259,1.12034,3.88131,0.25765,0.72166,0.64457,0.35543
Ohio,39,0.54479,2010,2.76907,0.36113,0.588,1.70069,2.30619,0.43362,0.66079,0.52605,0.47395
Oklahoma,40,0.59194,2010,2.16338,0.46224,0.69368,1.44159,2.21174,0.45213,0.52064,0.33715,0.66285
Oregon,41,0.51907,2010,2.45651,0.40708,0.76614,1.30525,1.76584,0.5663,0.51389,0.11346,0.88654
Pennsylvania,42,0.6303,2010,2.92799,0.34153,0.54665,1.82932,2.38023,0.42013,0.68651,0.56673,0.43327
Rhode Island,44,0.52605,2010,2.73043,0.36624,0.5822,1.71761,1.64779,0.60687,0.54914,0.24906,0.75094
South Carolina,45,0.71236,2010,2.54284,0.39326,0.4609,2.16969,2.08649,0.47927,0.46408,0.48588,0.51412
South Dakota,46,0.28683,2010,2.79486,0.3578,0.68723,1.45512,4.99939,0.20002,0.52073,0.08571,0.91429
Tennessee,47,0.66628,2010,2.11151,0.47359,0.66992,1.49271,2.01487,0.49631,0.63111,0.56179,0.43821
Texas,48,0.66386,2010,1.5966,0.62633,0.69056,1.4481,1.93189,0.51763,0.51958,0.38974,0.61026
Utah,49,0.49086,2010,2.60327,0.38413,0.80939,1.23551,1.8269,0.54738,0.41309,0.04471,0.95529
Vermont,50,0.45032,2010,2.57808,0.38789,1.05844,0.94479,1.95359,0.51188,0.49309,0.45281,0.54719
Virginia,51,0.68783,2010,2.30341,0.43414,0.50778,1.96935,2.07252,0.4825,0.40906,0.02725,0.97275
Washington,53,0.52679,2010,2.29252,0.4362,0.64706,1.54545,1.84524,0.54194,0.50474,0.17267,0.82733
West Virginia,54,0.62899,2010,1.78818,0.55923,0.82072,1.21845,1.49409,0.6693,0.71939,0.5547,0.4453
Wisconsin,55,0.45066,2010,3.84663,0.25997,0.49281,2.02918,3.08321,0.32434,0.49725,0.147,0.853
Wyoming,56,0.52173,2010,2.37316,0.42138,0.75823,1.31885,2.79025,0.35839,0.47744,0.04347,0.95653
Alabama,1,0.66393,2020,2.18256,0.45818,0.63818,1.56696,2.12118,0.47144,0.50614,0.15813,0.84187
Alaska,2,0.54669,2020,1.54842,0.64582,0.57857,1.7284,1.06465,0.93928,0.54901,0.56292,0.43708
Arizona,4,0.51774,2020,1.61842,0.61789,0.81194,1.23162,1.61865,0.6178,0.61002,0.48621,0.51379
Arkansas,5,0.61361,2020,2.1787,0.45899,0.67498,1.48152,2.13379,0.46865,0.42387,0.14529,0.85471
California,6,0.5974,2020,1.72269,0.58049,0.74609,1.34032,1.74772,0.57217,0.51722,0.29051,0.70949
Colorado,8,0.60114,2020,1.89477,0.52777,0.62092,1.61051,1.7072,0.58575,0.55583,0.20712,0.79288
Connecticut,9,0.5532,2020,2.3622,0.42333,0.53692,1.86246,1.8648,0.53625,0.57958,0.38638,0.61362
Delaware,10,0.65032,2020,1.9985,0.50038,0.68388,1.46224,1.69194,0.59104,0.42998,0.42295,0.57705
Florida,12,0.6548,2020,1.79772,0.55626,0.62222,1.60714,1.80084,0.5553,0.52999,0.45111,0.54889
Georgia,13,0.65082,2020,1.87651,0.5329,0.72153,1.38593,1.98739,0.50317,0.5414,0.60441,0.39559
Hawaii,15,0.42379,2020,0.87963,1.13684,0.69528,1.43827,2.07311,0.48237,0.47393,0.20193,0.79807
Idaho,16,0.53763,2020,2.18358,0.45796,0.85223,1.17339,1.88716,0.5299,0.5209,0.16488,0.83512
Illinois,17,0.53819,2020,2.76862,0.36119,0.60937,1.64105,2.95497,0.33841,0.47405,0.05044,0.94956
Indiana,18,0.50311,2020,2.51794,0.39715,0.67837,1.47413,2.44601,0.40883,0.674,0.60436,0.39564
Iowa,19,0.32888,2020,3.15596,0.31686,0.57438,1.74101,2.99683,0.33369,0.62258,0.43479,0.56521
Kansas,20,0.50969,2020,2.44047,0.40976,0.61576,1.62401,2.21075,0.45234,0.51987,0.24151,0.75849
Kentucky,21,0.51243,2020,1.73028,0.57794,0.70332,1.42183,1.78199,0.56117,0.54357,0.33521,0.66479
Louisiana,22,0.64017,2020,2.49383,0.40099,0.58215,1.71777,2.00583,0.49855,0.54453,0.59943,0.40057
Maine,23,0.34207,2020,2.98833,0.33463,0.8028,1.24564,1.41129,0.70857,0.57147,0.37229,0.62771
Maryland,24,0.67824,2020,1.99625,0.50094,0.69183,1.44543,1.92565,0.5193,0.62031,0.65945,0.34055
Massachusetts,25,0.5219,2020,2.23723,0.44698,0.5965,1.67644,1.86559,0.53602,0.54598,0.12291,0.87709
Michigan,26,0.54466,2020,2.51783,0.39717,0.58068,1.72212,2.66491,0.37525,0.69539,0.5989,0.4011
Minnesota,27,0.33272,2020,3.72973,0.26812,0.58467,1.71037,2.68954,0.37181,0.57604,0.29469,0.70531
Mississippi,28,0.68829,2020,2.54077,0.39358,0.61804,1.61803,2.10356,0.47539,0.66038,0.53288,0.46712
Missouri,29,0.53098,2020,2.11765,0.47222,0.6203,1.61211,2.08871,0.47876,0.49674,0.60198,0.39802
Montana,30,0.49011,2020,1.04983,0.95254,0.90977,1.09918,3.26748,0.30605,0.44011,0.04017,0.95983
Nebraska,31,0.43525,2020,2.64629,0.37789,0.62399,1.60259,2.8721,0.34818,0.49947,0.45901,0.54099
Nevada,32,0.48703,2020,2.04413,0.48921,0.70634,1.41575,1.92661,0.51905,0.45729,0.11881,0.88119
New Hampshire,33,0.43736,2020,2.62441,0.38104,0.68809,1.4533,2.50318,0.39949,0.5828,0.27956,0.72044
New Jersey,34,0.54457,2020,2.16139,0.46266,0.60291,1.65863,1.79878,0.55593,0.47306,0.06708,0.93292
New Mexico,35,0.53424,2020,1.26225,0.79224,0.96749,1.0336,1.29708,0.77096,0.60508,0.50681,0.49319
New York,36,0.49871,2020,2.01455,0.49639,0.59474,1.6814,1.9294,0.5183,0.38188,0.0744,0.9256
North Carolina,37,0.63584,2020,1.97665,0.50591,0.63186,1.58263,1.96056,0.51006,0.43467,0.26649,0.73351
North Dakota,38,0.12505,2020,3.27329,0.3055,0.71881,1.39119,2.92743,0.3416,0.69992,0.61725,0.38275
Ohio,39,0.4989,2020,2.63563,0.37942,0.60668,1.64831,2.48685,0.40212,0.65295,0.50581,0.49419
Oklahoma,40,0.57668,2020,2.03603,0.49115,0.75777,1.31966,2.19463,0.45566,0.5182,0.30484,0.69516
Oregon,41,0.51391,2020,2.39007,0.4184,0.79694,1.25479,1.5369,0.65066,0.4989,0.09655,0.90345
Pennsylvania,42,0.59055,2020,2.67944,0.37321,0.60599,1.65019,2.42018,0.41319,0.66802,0.53914,0.46086
Rhode Island,44,0.51058,2020,2.17678,0.45939,0.64757,1.54423,1.58828,0.62961,0.53865,0.24513,0.75487
South Carolina,45,0.69714,2020,2.28434,0.43776,0.49997,2.00014,1.83657,0.54449,0.46622,0.48074,0.51926
South Dakota,46,0.25298,2020,2.17242,0.46032,0.62703,1.59482,0.90372,1.10653,0.54346,0.12523,0.87477
Tennessee,47,0.59569,2020,2.00333,0.49917,0.72413,1.38096,2.005,0.49875,0.62724,0.54981,0.45019
Texas,48,0.61161,2020,1.43336,0.69766,0.81264,1.23056,1.73202,0.57736,0.50864,0.37737,0.62263
Utah,49,0.39551,2020,2.82347,0.35417,0.64256,1.55627,1.98258,0.50439,0.44652,0.06006,0.93994
Vermont,50,0.29151,2020,2.34465,0.4265,0.86348,1.1581,1.35318,0.739,0.48228,0.44542,0.55458
Virginia,51,0.66772,2020,2.07935,0.48092,0.59747,1.67373,1.83915,0.54373,0.40493,0.04793,0.95207
Washington,53,0.4869,2020,1.96398,0.50917,0.72786,1.37389,1.62816,0.61419,0.53097,0.19419,0.80581
West Virginia,54,0.57325,2020,1.76299,0.56722,0.81139,1.23246,1.79907,0.55584,0.70082,0.53894,0.46106
Wisconsin,55,0.33465,2020,3.49777,0.2859,0.46923,2.13113,2.83289,0.353,0.48651,0.13679,0.86321
Wyoming,56,0.41743,2020,2.03361,0.49174,1.15219,0.86791,2.49577,0.40068,0.40007,0.03686,0.96314
